"date","yy","mm","RECESSION","CPI","FEDFUNDS","GDP","INDPRO","PAYEMS","PIX","SP500","UNEMPLOY","YC","REGIME","REGIME3"
1960-03-01,1960,3,"n",0.00204220629179819,-0.02,0.00875438150616681,-0.00893689842187273,0.00439391442949422,0.00091854208788078,0.00912917823345083,-0.286,0.26,2,0.0729404163694716
1960-04-01,1960,4,"n",-0.0013610073553747,-0.13,0.00568619805605053,-0.00901748733138197,-0.00108289676260931,0.000917699142534367,-0.0139962630565202,0.397,0.18,2,0.0724273283000521
1960-05-01,1960,5,"y",0.0013610073553747,0.0800000000000001,-0.0000223527748097752,-0.00796116843047434,0.00657108352521796,0.00362085506406284,-0.0176834615934469,-0.106,0.25,2,0.0721495974743231
1960-06-01,1960,6,"y",0,-0.0699999999999998,-0.00311344252106061,-0.00114250137710936,-0.00618551126695444,0.00244808321263523,0.0264988823799692,-0.0510000000000002,0.78,2,0.0734967807753799
1960-07-01,1960,7,"y",0.00441052453733004,-0.53,-0.00227267186868474,-0.0126502482278275,-0.00233406646860779,-0.000248684048199443,0.0193353429393142,0.197,0.87,2,0.0719787531773012
1960-08-01,1960,8,"y",0.00101505676115199,-0.0899999999999999,0.00130807771694208,-0.00347916725417674,-0.000773096288988029,0.00190499912665132,-0.0250835894120911,0.0699999999999998,1.12,2,0.0712532338584406
1960-09-01,1960,9,"y",0.00135180824911441,-0.25,0.00274385119623766,-0.00116241753945401,-0.000626277903650774,-0.00256845909459447,0.0257861008750151,0.11,1.5,2,0.0715732023993807
1960-10-01,1960,10,"y",-0.00202839826139289,-0.38,0.000828887412067658,-0.010518770586291,-0.000829500780287873,0.000290317900137893,-0.0622938337275674,-0.0620000000000003,1.63,2,0.0734325573194929
1960-11-01,1960,11,"y",0.00202839826139289,-0.13,-0.00333522916033324,-0.00117608360776655,-0.00156871462191432,0.00314660964299573,-0.00243197203797774,0.368,1.66,2,0.0713811997748678
1960-12-01,1960,12,"y",0,-0.0300000000000002,-0.00538682722330286,-0.0142176507949978,-0.00334866135329115,-0.00576250998660921,0.0394800561016995,0.0780000000000003,2.12,2,0.0734753721575778
1961-01-01,1961,1,"y",0.00471698987813873,-0.46,-0.00419535488410361,-0.019278344979043,-0.00406674469283175,-0.00587954907685706,0.0452342834120607,0.287,2.65,1,0.074482441627408
1961-02-01,1961,2,"y",0.00100789526422407,-0.53,-0.000478803662266714,0.00121612055019193,-0.00109844088307653,0.00870276775851941,0.0612418880082117,0.0540000000000003,1.56,2,0.0761146376806699
1961-03-01,1961,3,"n",0.00100688043411701,1.09,0.00268830047608226,-0.00121612055019193,-0.00234987053300806,0.0000829153020669438,0.0265148902596994,0.161,2.08,1,0.0760931313383473
1961-04-01,1961,4,"n",0.00100586764558042,-0.52,0.00451811259583401,0.00606586699685296,0.00190270166341477,0.00492112731454686,0.0252153287406838,0.0209999999999999,2.61,1,0.0713811997748678
1961-05-01,1961,5,"n",0,-0.53,0.0052230185826545,0.0203444316205013,-0.000596536378445478,0.00341810278226529,0.00383524298703275,0.04,2.12,1,0.0835388809107659
1961-06-01,1961,6,"n",0,0.49,0.00563798588535747,0.0152851693888518,0.00296053766552262,0.00594349299468444,0.0189586331734919,0.11,2.37,1,0.0741822786922884
1961-07-01,1961,7,"n",-0.00100586764558042,-0.25,0.00597131975458964,0.0139046587545719,0.00354481965061737,0.00801876689124814,-0.029270367722332,-0.118,2.93,1,0.0764588483673246
1961-08-01,1961,8,"n",0.00100586764558042,-0.56,0.00622049883890696,0.0114447506972923,0.00270120423263798,0.0023891003649803,0.0322707300091496,0.0430000000000001,2.1,1,0.0722991280938102
1961-09-01,1961,9,"n",0,0.83,0.00637143921948713,0.00905834781657822,0.00322815971026102,0.00423772201129857,0.0194324587081676,-0.246,2.22,1,0.0733255342084184
1961-10-01,1961,10,"n",0.0026773777707163,-0.12,0.00642252960322587,-0.00112832577811828,0.0016561474444039,0.00197147461710134,-0.0198819155870558,-0.00600000000000023,1.84,1,0.0713172132338643
1961-11-01,1961,11,"n",0.000668225885205764,0.38,0.00640658922981707,0.0190065145355076,0.00246074864782564,0.0106349954867522,0.0279294092765303,-0.103,1.49,1,0.078701236171734
1961-12-01,1961,12,"n",0.00133511368296935,0.35,0.00644585148852173,0.0153849493657714,0.00402694935750247,0.00914477582850903,0.0385927118456042,-0.278,1.77,1,0.0748900566102757
1962-01-01,1962,1,"n",0,-0.28,0.00656883260345609,0.0086846092115378,0.00237196089825176,0.00546266906349757,0.00321975493624116,-0.118,1.95,1,0.0717652695430061
1962-02-01,1962,2,"n",0,-0.18,0.00663942963602615,-0.0086846092115378,0.000346200453519074,-0.00137268381197231,-0.0386116346935959,-0.0959999999999992,1.63,1,0.0721495974743231
1962-03-01,1962,3,"n",0.00100016677782389,0.22,0.00612687634001752,0.0162256508690839,0.00539613769524827,0.00481570141563559,0.0161387226189342,-0.21,1.01,1,0.0732185310717002
1962-04-01,1962,4,"n",0.000999167443658244,0.48,0.00491249104763014,0.00535185278305539,0.00157518839772308,0.00661790020443132,-0.00587767435263231,0.0499999999999998,1.08,1,0.0714878599355631
1962-05-01,1962,5,"n",0.00232751559770872,-0.0700000000000003,0.00332129150658389,0.00212890130201648,0.0058984450890982,0.00626597547933372,-0.0639732144071132,-0.0149999999999997,1.54,1,0.0723204928008171
1962-06-01,1962,6,"n",0.00199071067732737,-0.42,0.00260655925616327,-0.00106580899019981,0.000467499783756153,0.00138712309838329,-0.0899139271916765,-0.0430000000000001,1.32,1,0.0718933501600804
1962-07-01,1962,7,"n",0.00132494222761048,0.32,0.00306828015396476,-0.00213117393458129,0.000287583580959705,0.00126984144047615,-0.0853814512084865,-0.0190000000000001,1.33,1,0.0723632246075817
1962-08-01,1962,8,"n",0.000992555912751936,0.0299999999999998,0.00427015746227077,0.00956809154703597,0.00183140368990564,0.0047188900364894,0.0616233171524181,-0.0249999999999999,1.03,1,0.0716798984013512
1962-09-01,1962,9,"n",-0.000992555912751936,0.22,0.00452111571258484,0.00105791623303375,0.00164898230654487,0.00114757873507543,0.015168573876168,0.194,1.04,1,0.0713385412846503
1962-10-01,1962,10,"n",0.000330961446012967,-0.0300000000000002,0.00341895533451364,0.00632030855343091,0.00250411520993232,0.00118444946505747,-0.049407726280009,-0.052,1.02,1,0.0713811997748678
